상품명,키워드
비자 트러블 토너 170ml,"트러블, 보습, 여드름, 진정, 수분, 각질, 모공, 피지, 건성"
아토베리어365 로션 150ml,"보습, 트러블, 수분, 건성, 여드름, 지성, 진정, 피지, 쫀쫀, 촉촉"
퍼펙트 9 인텐시브 아이크림 30ml,"주름, 보습, 건성, 트러블, 수분, 탄력, 쫀쫀, 모공"
블랙티 유스 인핸싱 트리트먼트 에센스 145ml,"보습, 수분, 트러블, 주름, 탄력, 쫀쫀, 지성, 여드름"
자음생세럼 단품세트 50ml,"탄력, 수분, 트러블, 주름, 쫀쫀, 보습, 모공, 지성, 여드름, 건성, 촉촉, 각질, 진정"
테라크네365 클리어 약산성 클렌징 젤 200ml,"트러블, 여드름, 건성, 수분, 피지, 지성, 촉촉"
포어 클린 토너 250ml,"모공, 피지, 트러블, 여드름, 건성, 지성, 진정, 각질, 수분, 보습, 잡티, 산뜻, 촉촉, 기미, 주름, 탄력"
슈퍼바이탈 시그니처 3종 세트,"보습, 주름, 건성, 탄력, 쫀쫀, 수분, 모공, 트러블, 지성, 진정"
모이스춰 플럼핑 듀이 미스트 100ml,"수분, 보습, 진정, 트러블, 탄력, 촉촉, 건성, 각질, 모공, 쫀쫀, 주름"
트리트먼트 클렌징 오일 200ml,"트러블, 건성, 피지, 각질, 지성, 쫀쫀, 보습, 산뜻"
블루 수분 선크림 SPF50+/PA++++ 50ml,"촉촉, 건성, 트러블"
베이킹 파우더 모공 클렌징 폼 160g,"모공, 각질, 트러블, 피지, 지성, 쫀쫀, 건성, 수분, 여드름"
워터뱅크 블루 히알루로닉 클렌징 오일 250ml,"트러블, 건성, 수분, 각질, 피지, 쫀쫀, 지성, 예민, 보습, 모공, 촉촉"
MD 레드이치 큐어밤 60ml,"보습, 진정, 트러블, 건성, 수분, 각질, 주름, 촉촉, 예민, 모공"
빈티지 싱글 익스트렉트 에센스 스타터 세트 70ml,"트러블, 수분, 진정, 건성, 보습, 탄력, 주름, 지성, 각질, 여드름, 촉촉, 기미, 잡티"
본윤에센스 140ml,"트러블, 보습, 주름, 탄력, 피지, 수분, 예민, 건성, 촉촉"
슈퍼바이탈 아이크림 25ml,"주름, 쫀쫀, 탄력, 건성, 보습, 수분, 트러블, 모공, 촉촉"
애플씨드 클렌징 크림 150ml,"트러블, 피지, 모공"
테라크네365 액티브 세럼 30ml,"트러블, 여드름, 진정, 피지, 모공, 각질, 보습, 수분, 지성, 건성, 쫀쫀, 잡티"
화산송이 모공 바하 클렌징폼  250g,"모공, 트러블, 각질, 지성, 피지, 수분, 여드름, 촉촉, 보습, 예민, 진정, 쫀쫀"
퍼펙트리뉴 3X 크림 50ml,"탄력, 보습, 주름, 수분, 쫀쫀, 건성, 트러블"
라그랑 효소 엔자임 약산성 파우더 세안제 50g,"각질, 모공, 트러블, 피지, 건성, 촉촉, 보습, 여드름, 수분, 진정, 주름, 지성, 쫀쫀, 탄력"
스템Ⅲ 에멀젼 150ml,"보습, 수분, 건성, 주름, 쫀쫀, 트러블, 촉촉, 탄력, 여드름, 예민, 지성, 진정, 기미, 모공, 각질"
퍼펙트 딥 씨솔트 클렌징폼 150g,"각질, 모공, 트러블, 피지, 건성, 지성, 보습, 쫀쫀, 여드름, 수분, 탄력"
시그니아 세럼 스페셜 기프트 세트,"트러블, 주름, 탄력, 건성, 수분, 보습, 쫀쫀, 각질, 모공, 촉촉, 피지"
마이크로미셀라 약알칼리성 딥 클렌징 폼 150g,"트러블, 모공, 쫀쫀, 건성, 피지, 각질, 여드름, 지성, 수분, 보습, 촉촉"
프로바이오틱스 세라마이드 인텐스 크림 60ml,"보습, 건성, 트러블, 수분, 진정, 주름, 각질, 지성, 예민, 탄력, 여드름"
에이지 어웨이 콜라제닉 에멀젼 140ml,"탄력, 수분, 주름, 보습, 건성, 트러블, 지성, 쫀쫀, 각질"
바이오 컨디셔닝 에센스 84ml,"수분, 트러블, 건성, 보습, 진정, 주름, 촉촉, 탄력, 지성, 잡티, 여드름, 각질"
세라마이드더마6.0 클렌징워터 폼 250ml,"트러블, 지성, 건성"
저자극 무기자차 선크림 SPF50+/PA+++ 50ml,"트러블, 보습, 건성, 수분, 잡티, 기미"
유브이 액티브 포어리스 선스크린 SPF50+/PA++++ 50ml,"모공, 기미"
PDRN 카페인샷 30ml,"탄력, 주름, 트러블, 쫀쫀, 건성, 모공, 수분, 보습, 지성, 촉촉, 잡티, 각질, 예민, 여드름, 기미, 피지, 진정"
아토 모이스처라이저 95ml,"수분, 보습, 건성, 트러블, 진정, 지성, 주름, 탄력, 각질, 쫀쫀, 촉촉, 여드름"
워터뱅크 블루 히알루로닉 기초 세트 160ml+120ml,"건성, 수분, 트러블, 보습, 지성, 여드름, 진정, 촉촉, 주름, 모공"
워터뱅크 블루 히알루로닉 크림 지·복합용 50ml,"수분, 건성, 지성, 트러블, 보습, 진정, 촉촉, 모공, 여드름, 피지, 쫀쫀, 주름, 각질, 탄력"
워터뱅크 블루 히알루로닉 에센스 토너 지·복합용 160ml,"수분, 트러블, 지성, 쫀쫀, 건성"
워터뱅크 블루 히알루로닉 클렌징 폼 150g,"건성, 트러블, 수분, 촉촉, 쫀쫀, 모공, 피지, 지성, 보습, 각질"
스템Ⅲ 소프너 150ml,"보습, 수분, 주름, 건성, 기미, 쫀쫀, 탄력, 트러블, 촉촉, 진정, 여드름, 지성, 모공"
자음생수EX 150ml,"트러블, 보습, 탄력, 수분, 건성, 주름, 예민, 쫀쫀, 잡티"
모이스춰 플럼핑 넥타 크림 50ml,"수분, 트러블, 건성, 탄력, 보습, 촉촉, 진정, 쫀쫀, 여드름, 주름, 지성"
자음생크림 클래식 단품세트 60ml,"건성, 탄력, 주름, 수분, 트러블, 보습, 쫀쫀, 진정, 지성, 촉촉"
블랙티 유스 인핸싱 스킨 170ml,"트러블, 각질, 수분, 건성, 탄력, 보습, 지성, 진정"
블랙티 유스 인핸싱 앰플 50ml,"보습, 건성, 수분, 트러블, 주름, 촉촉, 탄력, 쫀쫀"
퓨어 핏 시카 약산성 클렌징 패드 100매,"진정, 건성, 수분, 산뜻"
블루베리 리밸런싱 스킨 300ml,"트러블, 수분, 보습, 건성, 각질, 예민, 촉촉, 진정"
워터뱅크 블루 히알루로닉 에멀젼 중·건성용 120ml,"건성, 트러블, 수분, 보습, 지성, 촉촉"
워터뱅크 블루 히알루로닉 에센스 토너 중·건성용 160ml,"수분, 건성, 보습, 트러블"
워터뱅크 블루 히알루로닉 세럼 50ml,"수분, 건성, 보습, 트러블, 지성, 주름, 쫀쫀, 촉촉, 탄력, 진정, 각질, 여드름, 모공"
알파인 베리 워터리 수딩 젤크림 100ml,"수분, 트러블, 여드름, 지성, 진정, 건성, 보습, 쫀쫀, 각질"
화이트 클레이 모공 클렌징폼 150g,"모공, 피지, 트러블, 지성, 건성, 수분, 쫀쫀, 보습, 각질, 여드름, 탄력"
자음생유액EX 125ml,"트러블, 보습, 탄력, 건성, 수분, 주름, 각질, 촉촉, 지성, 쫀쫀"
자음생마스크EX 5매,"모공, 수분, 탄력, 쫀쫀, 주름, 보습, 트러블, 건성, 촉촉, 지성, 각질"
에이지컨트롤 파워 리프트 에멀젼 150ml,"건성, 주름, 보습, 수분, 탄력, 트러블, 쫀쫀, 지성"
극진 아이크림 기획세트 30ml,"주름, 쫀쫀, 탄력, 보습, 건성, 트러블, 촉촉, 수분"
에이지 어웨이 콜라제닉 워터 170ml,"수분, 쫀쫀, 트러블, 주름, 보습, 탄력, 건성, 진정, 각질, 예민, 지성"
어린쑥 수분진정 패드 60매 170ml,"진정, 수분, 트러블, 보습, 건성, 여드름, 모공, 각질, 촉촉, 탄력, 피지, 쫀쫀, 예민"
그린티 씨드 히알루론산 세럼 리필 80ml,"건성, 지성, 수분"
한란 인리치드 크림 50ml,"수분, 건성, 쫀쫀, 보습, 주름, 탄력, 트러블, 촉촉, 모공, 지성"
로즈 하이드라 글로리앰플 50ml,"수분, 보습, 각질, 트러블, 건성, 촉촉, 진정, 지성, 탄력, 주름, 여드름, 쫀쫀, 잡티, 모공, 예민, 피지"
래디언씨 어드밴스드 이펙터 150ml,"트러블, 잡티, 각질, 수분, 주름, 기미, 건성, 보습, 진정, 산뜻, 탄력, 촉촉, 여드름, 쫀쫀, 지성, 피지"
아토베리어365 크림플러스 90ml,"보습, 트러블, 건성, 여드름, 수분, 진정, 주름, 각질, 피지, 쫀쫀, 지성"
달빛유자C 세럼 50ml,"보습, 기미, 수분, 잡티, 주름, 트러블, 건성, 쫀쫀, 모공, 탄력, 촉촉, 지성, 진정"
에이지 어웨이 콜라제닉 크림 50ml,"탄력, 쫀쫀, 보습, 주름, 건성, 수분, 트러블, 촉촉, 잡티, 여드름"
헤어리무벌 솔루션 제모크림 120ml,"트러블, 각질, 진정"
타임브레이스 에멀젼 125ml,"트러블, 주름, 탄력"
상백선크림 SPF50+/PA++++ 50ml,"건성, 트러블, 잡티, 수분, 탄력, 지성, 보습, 각질, 기미, 모공, 주름, 진정, 여드름"
로맨틱 스페셜 2종 세트,"트러블, 보습, 수분, 건성, 주름, 지성, 촉촉, 탄력"
백화고 앰플 에센스 40ml,"건성, 기미, 주름, 수분, 보습, 트러블, 탄력, 잡티, 쫀쫀, 진정, 지성"
에이지컨트롤 파워 리프트 스킨 소프너 200ml,"주름, 보습, 탄력, 수분, 건성, 트러블, 촉촉, 지성"
마일드 시카 무기 자차 선크림 SPF50+/PA++++ 50ml,
비자 시카 밤 EX 대용량 70ml,"트러블, 진정, 여드름, 보습, 수분, 지성, 건성, 주름, 모공"
블랙티 유스 인핸싱 로션 170ml,"건성, 수분, 트러블, 지성, 탄력, 촉촉, 보습"
블랙티 유스 인핸싱 앰플 30ml,"트러블, 보습, 탄력, 건성, 주름, 수분, 지성, 잡티, 진정, 쫀쫀, 기미"
블랙티 유스 인핸싱 트리트먼트 에센스 75ml,"트러블, 수분, 탄력, 진정, 건성, 촉촉, 주름, 보습, 지성, 모공"
리피드 밸런스 클렌징 오일밤 100ml,"피지, 건성, 쫀쫀, 트러블, 보습, 수분, 각질"
원더포어 프레쉬너 250ml,"모공, 각질, 트러블, 피지, 지성, 진정, 건성"
자음생앰플 브라이트닝 20g,"기미, 잡티, 트러블, 주름, 각질, 탄력"
멀티케어 유기농 냉압착 비정제 100%호호바오일 30ml,"트러블, 보습, 건성, 수분, 지성, 피지, 진정, 모공"
힘찬콩 탄력 크림 60ml,"탄력, 보습, 건성, 수분, 트러블, 주름, 쫀쫀, 진정, 각질, 지성, 촉촉, 모공, 여드름"
"""대용량 탄력 홈케어"" 뉴트리티브 퍼밍 팩 100ml  100ml","탄력, 주름, 수분, 트러블, 건성, 모공, 보습, 쫀쫀, 지성, 각질, 촉촉, 진정, 피지, 여드름, 예민, 잡티"
달빛유자C 세럼 30ml,"수분, 트러블, 보습, 건성, 잡티, 기미, 주름, 탄력, 쫀쫀, 촉촉, 모공, 여드름, 각질, 진정"
보태니컬 에센셜 2종 세트,"수분, 트러블, 건성, 탄력, 주름, 각질, 진정, 쫀쫀, 모공, 예민, 보습, 기미, 여드름"
보태니컬 수딩 토너 200ml,"수분, 진정, 트러블, 보습, 건성, 각질, 지성, 탄력, 쫀쫀, 모공, 촉촉, 산뜻"
진설클렌징폼 150ml,"보습, 트러블, 건성, 각질, 지성, 수분, 피지"
에이지컨트롤 파워 리프트 크림 50ml,"탄력, 주름, 수분, 건성, 보습, 트러블, 쫀쫀, 촉촉, 산뜻"
워터 스플래쉬 프레쉬 시카 선크림 SPF50+/PA++++,"수분, 트러블, 지성"
하이드로에센스&파워크림 2종 세트,"보습, 수분, 탄력, 건성, 주름, 예민, 촉촉, 진정"
워터뱅크 블루 히알루로닉 클렌징 젤 200ml,"수분, 건성, 트러블, 각질, 지성, 여드름, 모공, 촉촉, 주름, 피지, 보습"
하이드로-듀 플럼핑 크림 50ml,"수분, 각질, 탄력, 보습, 트러블, 피지, 진정, 모공, 지성, 촉촉, 쫀쫀"
하이드로-듀 플럼핑 앰플 50ml,"수분, 건성, 트러블, 탄력, 지성, 모공, 보습, 주름, 촉촉, 진정, 여드름, 쫀쫀"
아토베리어365 로션플러스 180ml,"보습, 트러블, 건성, 진정, 수분, 촉촉, 주름, 지성, 쫀쫀, 각질, 탄력, 여드름"
엘리멘탈 스무딩 로션 110ml,"수분, 탄력, 트러블, 건성, 보습, 촉촉, 진정, 지성, 쫀쫀, 모공"
세라마이드 더마 페이셜 크림 80ml,"보습, 트러블, 여드름, 진정, 건성, 수분, 각질, 지성, 예민, 촉촉, 쫀쫀, 탄력, 모공"
에이지 어웨이 콜라제닉 아이크림 25ml,"주름, 보습, 쫀쫀, 탄력, 건성, 수분, 트러블"
궁중비누 레귤러세트 100*2,"보습, 건성, 트러블, 수분, 피지, 모공, 진정, 주름, 여드름, 지성, 각질"
타임 레스폰스 스킨 리저브 플루이드 160ml,"보습, 수분, 모공, 탄력, 주름, 지성, 트러블, 쫀쫀, 건성"
시그니아 에센셜 밸런싱 에멀젼 150ml,"트러블, 건성, 수분, 탄력, 보습, 모공, 주름, 촉촉"
극진 크림 세트 50ml,"보습, 주름, 건성, 탄력, 수분, 트러블, 쫀쫀, 진정, 지성, 잡티"
블랙티 유스 인핸싱 인텐시브케어 2종 세트,건성
아토베리어365 크림/에센스 2종세트,"보습, 트러블, 수분, 여드름, 피지, 지성"
퍼펙트 9 인텐시브 크림 60ml 60ml,"건성, 보습, 수분, 주름, 탄력, 쫀쫀, 트러블"
탄력크림 75ml,"탄력, 건성, 수분, 쫀쫀"
한란 스킨 200ml,"쫀쫀, 지성, 주름, 건성, 수분"
수분가득 콜라겐 에멀전 180ml,"수분, 건성, 트러블, 보습, 쫀쫀"
수분가득 콜라겐 아이크림 28ml,"주름, 수분, 쫀쫀, 보습, 트러블, 건성, 탄력"
워터뱅크 블루 히알루로닉 에멀젼 지·복합용 120ml,"수분, 건성, 보습, 트러블, 피지, 촉촉, 지성"
퍼펙트리뉴 유스 레티놀 프로 30ml,"주름, 모공, 탄력, 트러블, 수분, 쫀쫀, 보습, 건성, 각질, 여드름, 잡티, 기미, 지성, 예민, 진정, 피지, 촉촉"
자음생앰플 20g,"탄력, 주름, 수분, 트러블, 건성, 진정, 보습, 쫀쫀, 각질, 모공, 촉촉, 지성, 여드름, 잡티"
마이크로 미셀라 트러블케어 버블폼 150ml,"트러블, 여드름, 피지, 지성, 모공, 수분, 쫀쫀, 건성, 보습, 각질, 진정, 예민"
시그니아 스킨 리파이닝 워터 180ml,"수분, 트러블, 보습, 건성, 모공, 주름, 탄력, 지성, 피지"
옴므 액티브 워터 2종,"수분, 보습, 트러블, 피지, 모공, 건성, 지성, 산뜻, 촉촉, 여드름"
극진 에멀젼 125ml,"보습, 주름, 건성, 지성, 탄력, 수분, 쫀쫀"
"퍼밍3종 (크림, 에센스, 팩)","트러블, 쫀쫀, 보습, 각질, 탄력"
퍼펙트 9 인텐시브 스킨 200ml,"건성, 수분, 트러블, 보습"
블랙티 유스 인핸싱 오일 30ml,"보습, 수분, 트러블"
퍼펙트리뉴 3X 투스텝 2종 세트,"주름, 탄력, 보습, 트러블, 건성, 지성, 촉촉, 수분"
민감 맞춤 에센스 35ml,"트러블, 수분, 각질, 보습, 진정, 건성, 피지, 지성, 주름, 탄력, 예민, 쫀쫀, 여드름, 모공, 촉촉"
레드에너지 세럼 울트라 리페어 30ml,"보습, 건성, 트러블, 수분, 주름"
원더 포어 프레쉬너 500ml,"모공, 트러블, 각질, 여드름, 피지, 지성, 수분, 보습, 진정"
순정 디렉터 무기자차 선크림 SPF50+/PA++++ 50ml,"트러블, 수분, 건성, 지성, 기미, 보습, 잡티, 예민, 진정, 여드름, 모공"
수분가득 콜라겐 크림 75ml,"수분, 보습, 건성, 트러블, 탄력, 쫀쫀, 지성, 촉촉, 모공, 주름, 각질, 여드름"
수분가득 콜라겐 2종 세트,"수분, 보습, 트러블, 건성, 진정, 탄력, 예민"
에센셜 기초 2종 세트,"수분, 보습, 트러블, 건성, 탄력, 진정, 주름, 각질, 지성, 피지, 모공"
멜라닌 이레이징 크림 65ml,"기미, 잡티, 수분, 보습, 쫀쫀, 트러블, 건성, 주름, 진정, 촉촉"
피토 리쥬브네이팅 컨센트레이트 30ml,"수분, 탄력, 진정, 주름, 트러블, 보습, 쫀쫀, 각질, 건성, 지성, 산뜻, 여드름, 예민, 모공, 촉촉"
시그니아 코어 리프닝 세럼 50ml,"탄력, 주름, 건성, 쫀쫀, 수분, 보습, 트러블, 촉촉, 지성, 산뜻, 모공"
마이크로 밸런싱 에센스 150ml,"수분, 트러블, 건성, 각질, 진정, 여드름, 모공, 탄력, 산뜻, 보습, 촉촉, 지성"
랑팔라투르 액체비누 사봉리퀴드 버베나 500ML,보습
코어 리프트 액티베이팅 세럼 140ml,"탄력, 트러블, 건성, 수분, 보습, 주름, 각질, 쫀쫀, 촉촉, 기미, 지성"
진설아이크림 25ml,"주름, 탄력, 쫀쫀, 건성, 보습, 트러블, 기미, 모공"
진설크림 60ml,"주름, 보습, 탄력, 수분, 트러블, 건성, 쫀쫀, 모공, 지성"
진설유액 125ml,"탄력, 트러블, 보습, 각질, 건성, 주름, 쫀쫀, 예민"
모이스춰 플럼핑 리쥬브네이팅 아이 젤 15ml,"주름, 수분, 보습, 건성, 탄력, 쫀쫀, 각질"
극진 에센스 기획세트 60ml,"탄력, 주름, 건성, 보습, 쫀쫀, 트러블, 진정, 촉촉, 수분, 모공"
에이지컨트롤 파워 아이크림 25ml,"주름, 탄력, 쫀쫀, 보습, 트러블, 건성, 수분, 지성"
타임 레스폰스 스킨 리저브 토너 200ml,"보습, 탄력, 쫀쫀, 트러블, 수분, 주름"
본윤선크림 SPF50+/PA++++ 50ml,지성
원더포어 모공 크림 75ml,"모공, 수분, 지성, 트러블, 건성, 여드름"
맨 인더핑크 2종 기획세트,"트러블, 진정, 수분, 보습, 피지, 예민, 건성"
멜라닌 선스크린 50ml,"트러블, 주름, 각질, 수분, 쫀쫀, 기미, 촉촉, 탄력, 건성, 지성, 잡티"
비건 페이셜솝 120g,"여드름, 트러블"
히알루로닉 스파 캡슐 24개입,"촉촉, 주름, 건성, 수분"
한란 로션 160ml,"건성, 트러블, 수분, 보습, 주름, 탄력"
리제덤RX 리프팅캡슐크림 50ml,"탄력, 트러블, 주름, 보습, 쫀쫀, 수분, 진정, 건성, 촉촉, 지성"
순정 판텐소사이드™ 5 시카 밤 40ml,"트러블, 진정, 보습, 건성, 모공, 여드름, 지성"
수분가득 콜라겐 클렌징 폼 150g,"수분, 건성, 쫀쫀, 지성, 트러블"
자음생세럼 브라이트닝 30ml,"기미, 트러블, 탄력, 잡티, 건성, 수분, 주름, 촉촉, 보습"
자음생세럼 30ml,"트러블, 탄력, 주름, 건성, 수분, 진정, 보습"
레드니스 R 에센스 라이트 35ml,"진정, 수분, 여드름, 트러블, 건성, 지성, 보습, 피지, 모공"
타임 레스폰스 스킨 리저브 세럼 미스트,"보습, 수분, 트러블, 탄력, 각질, 건성"
멜라닌 에센스 50ml,"기미, 잡티, 트러블, 수분, 주름, 보습, 건성, 촉촉, 진정, 지성, 쫀쫀, 탄력, 여드름, 모공"
퍼펙트리뉴 유스 레티놀 프로 15ml,"주름, 모공, 탄력, 트러블, 쫀쫀, 수분, 각질, 보습, 여드름, 건성, 지성, 예민"
프로바이오틱스 세라마이드 크림 60ml,"보습, 트러블, 수분, 건성, 진정, 주름, 지성, 쫀쫀, 각질, 탄력, 촉촉, 여드름, 모공, 예민, 산뜻"
타임브레이스 액티베이팅 에센스 150ml,"보습, 건성, 수분, 탄력, 트러블, 주름, 지성, 촉촉, 각질, 쫀쫀, 여드름, 진정"
에이지 어웨이 콜라제닉 세럼 40ml,"탄력, 수분, 보습, 쫀쫀, 건성, 트러블, 주름, 지성, 촉촉, 모공, 여드름"
컨센트레이트 시그니처 크림 라이트 80ml,"수분, 건성, 보습, 탄력, 모공, 주름, 지성"
타임브레이스 워터 150ml,"보습, 수분, 건성, 지성, 탄력, 쫀쫀"
랑팔라투르 마르세유 비누 벌트 150g 6종세트,"트러블, 보습"
진설수 125ml,"보습, 건성, 트러블, 탄력, 주름, 수분, 촉촉, 쫀쫀, 모공"
타임 레스폰스 아이 리저브 크림 15ml,"주름, 탄력, 쫀쫀, 건성, 촉촉"
에이지컨트롤 파워 리프트 세럼 40ml,"주름, 탄력, 보습, 수분, 트러블, 건성, 쫀쫀"
슈퍼바이탈 세럼 40ml,"주름, 건성, 수분, 트러블, 보습, 탄력, 쫀쫀, 모공, 촉촉, 지성, 여드름"
자음생아이크림 20ml,"주름, 탄력, 쫀쫀, 트러블, 보습, 수분, 건성, 촉촉, 지성, 진정"
시그니아 바이탈 리프팅 크림 60ml,"탄력, 주름, 쫀쫀, 건성, 트러블, 수분, 보습, 모공, 잡티, 여드름, 지성, 촉촉"
퍼펙트 9 인텐시브 로션 160ml,"건성, 보습, 주름, 수분, 탄력, 쫀쫀, 트러블"
그린티 씨드 히알루론산 세럼 스페셜 세트  80ml+  80ml,"수분, 건성, 트러블, 보습, 진정"
리얼아트 클렌징 오일 퍼펙트 185ml,"피지, 각질, 트러블, 쫀쫀, 모공, 보습"
카르본 애드온세럼 30 ml,"보습, 기미, 잡티, 수분, 촉촉, 트러블, 건성, 지성, 주름, 탄력, 진정"
이오논 애드온세럼 30 ml,"수분, 보습, 탄력, 주름, 지성, 트러블, 건성, 모공, 촉촉, 각질, 진정"
카밍 인그로운헤어 스프레이 80ml,"보습, 트러블, 진정, 각질"
자음생세럼 브라이트닝 50ml,"트러블, 기미, 탄력, 잡티, 진정, 보습"
하이드로-듀 플럼핑 워터 드롭 50ml,"수분, 각질, 트러블, 건성, 진정, 탄력, 보습, 지성"
자음생세럼 50ml,"주름, 탄력, 건성, 촉촉, 트러블"
리커버리 R 인핸서 20ml,"트러블, 보습, 진정, 주름, 수분, 예민, 쫀쫀, 탄력"
레드니스 R 에센스 리치 35ml,"진정, 수분, 트러블, 각질, 건성, 여드름, 주름, 보습"
아토 올인원 로션,"보습, 수분, 건성, 트러블, 각질, 촉촉, 진정"
멜라닌 팩 4ml*30개입,"기미, 잡티, 트러블, 주름, 건성, 수분, 보습, 진정, 모공"
타임 레스폰스 스킨 리저브 크림 15ml,"주름, 탄력, 건성, 촉촉, 보습"
타임브레이스 세럼 50ml,"주름, 보습, 수분, 탄력, 쫀쫀, 진정, 트러블"
보태니컬 하이드레이팅 플루이드 160ml,"수분, 트러블, 보습, 건성, 진정, 지성, 촉촉, 주름, 탄력"
클린테라피 파우더 마스크 홀리추얼 클린테라피 파우더 마스크,"트러블, 진정, 각질, 여드름, 피지, 모공, 수분, 탄력, 쫀쫀, 건성, 보습, 촉촉, 지성"
컨센트레이트 시그니처 크림 50ml,"건성, 수분, 보습, 트러블, 탄력, 주름, 기미, 잡티"
모이스춰 플럼핑 넥타 크림 30ml,"수분, 탄력, 보습, 트러블, 건성, 진정, 촉촉, 여드름, 각질, 모공, 피지, 쫀쫀, 지성, 주름"
빈티지 싱글 익스트렉트 에센스 70ml,"수분, 트러블, 진정, 보습, 건성, 모공, 지성, 탄력, 주름, 촉촉, 잡티, 기미, 피지, 산뜻, 쫀쫀"
진설에센스 50ml,"건성, 쫀쫀, 보습, 모공, 탄력, 주름, 촉촉, 수분, 트러블"
모이스춰 플럼핑 컨센트레이트 앰플 5ml*4,"수분, 탄력, 트러블, 보습, 건성"
타임 레스폰스 스킨 리저브 크림 50ml,"보습, 주름, 탄력, 쫀쫀, 건성, 수분"
더 에센셜 크림 플루이드 90ml,"보습, 수분, 트러블, 건성, 각질, 지성, 예민, 촉촉"
시그니아 유스 퍼밍 아이크림 30ml,"주름, 트러블, 쫀쫀, 탄력, 보습, 촉촉"
타임 레스폰스 인텐시브 리뉴얼 앰플 4pair 세트 *4,"탄력, 주름, 촉촉, 쫀쫀, 건성, 각질, 기미"
빨간쌀 보습탄력 에센스 스킨 150ml,"보습, 건성, 수분, 탄력, 트러블, 주름"
애플씨드 버블 클렌저 150ml,건성
송담 2종 세트,"탄력, 수분, 트러블, 보습, 건성, 쫀쫀"
그린티 씨드 히알루론산 스킨케어 세트,"트러블, 수분, 여드름, 탄력"
향기 좋은 비건 토너 300ml,"보습, 쫀쫀, 여드름, 건성"
워터뱅크 블루 히알루로닉 크림_지·복합용 50ml,"수분, 건성, 지성, 보습, 진정, 트러블"
아토베리어365 로션 150ml 기획세트,"보습, 트러블, 건성, 수분, 여드름, 각질, 진정, 주름, 촉촉, 피지, 예민"
순정 디렉터 수분 선크림 기획세트 SPF50+/PA+++,"수분, 트러블, 보습, 건성, 지성, 잡티, 기미, 모공, 주름, 피지, 각질, 산뜻, 촉촉, 여드름"
에이시카 365패드 60매 100ml * 2,"진정, 여드름, 트러블, 수분, 보습"
부들밤 모공수축 패드 50매 150ml,"모공, 각질, 피지, 수분, 진정, 쫀쫀, 트러블, 여드름, 건성, 촉촉, 주름, 탄력, 지성, 보습"
어린쑥 수분진정 선크림 SPF50+/PA++++ 50ml,"수분, 진정, 트러블, 건성, 촉촉, 지성, 보습, 산뜻, 피지, 기미, 각질, 여드름, 모공"
힘찬콩 탄력 세럼 30ml,"탄력, 수분, 트러블, 보습, 쫀쫀, 진정, 주름, 건성, 지성, 촉촉, 모공, 여드름, 피지, 예민"
아토베리어365 크림 80ml,"건성, 수분, 보습, 지성, 트러블"
순정 2x 베리어 보습 크림 60ml,"보습, 진정, 수분, 트러블, 건성, 쫀쫀, 촉촉, 여드름, 탄력, 각질"
블루 아줄렌 클라우드 토너 150ml,"진정, 수분, 트러블, 보습, 여드름, 건성, 탄력, 촉촉, 모공, 각질, 잡티, 쫀쫀, 산뜻"
포레스트 포맨 쉐이빙 & 클렌징 폼 150g,"트러블, 피지, 모공, 각질, 진정"
왕벚꽃 글로우 젤리 크림 50ml,"수분, 보습, 촉촉, 진정"
어린쑥 수분진정크림 리필캡슐30ml*2개입세트,"진정, 수분, 촉촉, 트러블"
더마UV365 장벽수분 무기자차 선크림 SPF 50+/ PA++++ 25ML,"기미, 여드름"
마일드 시카 무기 자차 선크림 SPF50+/PA++++ 35ml,"트러블, 수분, 잡티, 지성, 건성, 진정"
순정 약산성 5.5 폼 클렌저 150ml,"트러블, 건성, 여드름, 수분, 지성, 보습, 촉촉"
순정 약산성 6.5 휩 클렌저 150ml,"트러블, 건성, 쫀쫀, 여드름, 진정, 수분, 보습, 지성"
순정 약산성 6.5 휩 클렌저 250ml,"여드름, 트러블, 쫀쫀, 수분, 피지, 지성, 예민, 진정"
순정약산성5.5진정토너 200ml,"진정, 트러블, 수분, 지성, 건성, 보습, 여드름"
순정약산성5.5진정토너 350ml,"진정, 트러블, 수분, 보습, 지성, 건성, 여드름, 촉촉, 피지"
순정 수분 베리어 크림 75ml,"수분, 트러블, 보습, 진정, 건성, 촉촉, 여드름, 지성"
콜라겐 아이패치 4ml,"주름, 트러블, 보습, 탄력, 건성, 수분"
0.2 테라피 에어 마스크 달팽이 5매,"수분, 트러블, 진정, 촉촉"
0.2 테라피 에어 마스크 마누카꿀 5매,"주름, 수분, 진정, 건성, 탄력, 보습, 쫀쫀, 트러블"
0.2 테라피 에어 마스크 레몬 5매,"트러블, 수분, 진정, 건성, 보습, 탄력"
0.2 테라피 에어 마스크 진주 5매,"수분, 트러블, 진정, 주름, 건성, 보습, 여드름"
0.2 테라피 에어 마스크 티트리 5매,"진정, 트러블, 수분, 여드름, 지성, 모공"
스퀴즈 에너지 마스크 1매 22ml,"수분, 진정, 트러블, 보습, 예민, 건성, 주름"
오가니언스 베리어 리페어 소프트 필링 투 폼 클렌저 + 퍼펙트 오일 투폼 클렌저,"트러블, 건성, 모공, 촉촉, 각질"
자음생세럼 파우치 지함보 50ml,탄력
